r,tip3p,tip3pc
13.2125,0.973627,0.955278
13.2375,0.930577,0.995383
13.2625,0.931753,0.944602
13.2875,0.918878,0.960537
13.3125,0.969677,0.942463
13.3375,0.955517,0.93373
13.3625,0.935078,0.954399
13.3875,0.914514,0.992903
13.4125,0.956398,0.984966
13.4375,0.945335,0.942928
13.4625,0.964193,0.964603
13.4875,0.932916,0.961607
13.5125,0.929502,0.949623
13.5375,0.937669,0.961547
13.5625,0.944122,0.954358
13.5875,0.959149,0.951971
13.6125,0.959002,0.946754
13.6375,0.949624,0.957402
13.6625,0.944236,0.947624
13.6875,0.94659,0.984652
13.7125,0.93981,0.961978
13.7375,0.948806,0.954375
13.7625,0.949192,0.971767
13.7875,0.917382,0.933228
13.8125,0.927855,0.963442
13.8375,0.950602,0.953744
13.8625,0.971533,0.988511
13.8875,0.97581,0.955728
13.9125,0.935804,0.974803
13.9375,0.941023,0.958084
13.9625,0.94431,0.967006
13.9875,0.940421,0.939752
14.0125,0.943683,0.954689
14.0375,0.955577,0.970025
14.0625,0.926742,0.969679
14.0875,0.945652,0.957997
14.1125,0.940956,0.952526
14.1375,0.950671,0.916819
14.1625,0.948583,0.969836
14.1875,0.952732,0.96468
14.2125,0.968415,0.971941
14.2375,0.963697,0.981674
14.2625,0.970317,0.969152
14.2875,0.956228,0.955754
14.3125,0.955989,0.962136
14.3375,0.93773,0.981024
14.3625,0.94531,0.972132
14.3875,0.969343,0.975223
14.4125,0.9727,0.950118
14.4375,0.939974,0.968488
14.4625,0.984123,0.967844
14.4875,0.944647,0.947142
14.5125,0.950005,0.968257
14.5375,0.97329,0.965838
14.5625,0.944197,0.950464
14.5875,0.965359,0.969637
14.6125,0.982749,0.976946
14.6375,0.972826,0.980523
14.6625,0.954579,0.97429
14.6875,0.960714,0.965282
14.7125,0.981151,0.976241
14.7375,0.952519,0.972897
14.7625,0.964097,0.916889
14.7875,0.950582,0.945398
14.8125,0.960145,0.977158
14.8375,0.972718,0.984839
14.8625,0.965724,0.967955
14.8875,0.981465,0.988852
14.9125,0.952933,0.946563
14.9375,0.954892,0.973724
14.9625,0.954229,0.954646
14.9875,0.965147,0.970455
15.0125,0.977565,0.988809
15.0375,0.969562,0.95831
15.0625,0.964504,0.967052
15.0875,0.962399,0.953997
15.1125,0.943327,0.943861
15.1375,0.958108,0.981287
15.1625,0.95855,0.982733
15.1875,0.949115,0.984585
15.2125,0.959947,0.943912
15.2375,0.940053,0.991457
15.2625,0.940074,0.981384
15.2875,0.986501,0.980826
15.3125,0.960716,0.981095
15.3375,0.980768,0.970676
15.3625,0.96392,0.978012
15.3875,0.954269,0.978075
15.4125,0.98416,0.960406
15.4375,0.970691,0.982276
15.4625,0.94195,0.984029
15.4875,0.981124,0.968461
15.5125,0.941064,0.975364
15.5375,0.973513,0.971414
15.5625,0.99589,0.970806
15.5875,0.968998,0.980586
15.6125,0.978912,0.965868
15.6375,0.970838,0.969848
15.6625,0.966504,0.971001
15.6875,0.978225,0.96019
15.7125,0.964798,0.979186
15.7375,0.980849,0.971507
15.7625,0.949293,0.982021
15.7875,0.977483,0.994187
15.8125,0.970646,0.988763
15.8375,0.979872,0.96092
15.8625,0.979417,0.961159
15.8875,0.967913,0.988591
15.9125,0.958296,0.954905
15.9375,0.969613,0.985436
15.9625,0.961475,0.991029
15.9875,0.955877,0.947986
16.0125,0.984681,0.988681
16.0375,0.961814,0.976961
16.0625,0.982337,0.984272
16.0875,0.970059,0.95885
16.1125,0.995647,0.965561
16.1375,0.966108,1.00468
16.1625,0.960291,0.985341
16.1875,1.00172,0.978355
16.2125,0.966439,0.96165
16.2375,0.979803,0.974495
16.2625,0.982074,0.984668
16.2875,0.967332,0.959614
16.3125,0.986786,0.948596
16.3375,0.93906,0.975881
16.3625,0.980366,0.988636
16.3875,0.989617,0.987522
16.4125,0.98755,0.982237
16.4375,0.982599,0.951293
16.4625,0.962819,0.977749
16.4875,0.986197,0.989897
16.5125,0.991983,0.956039
16.5375,0.954641,0.980741
16.5625,0.970683,0.949905
16.5875,0.947389,0.975405
16.6125,0.973352,0.972825
16.6375,0.964021,0.976961
16.6625,0.954172,0.965556
16.6875,0.992135,0.992045
16.7125,0.984723,1.00091
16.7375,0.987393,0.970433
16.7625,0.997319,0.952001
16.7875,0.958478,0.96779
16.8125,0.981132,0.988144
16.8375,0.981734,0.995506
16.8625,0.995774,0.982837
16.8875,0.990155,0.985593
16.9125,0.973978,0.984372
16.9375,0.969211,0.985935
16.9625,0.974122,0.99554
16.9875,0.956042,0.955949
17.0125,0.975959,0.962355
17.0375,0.993121,0.995655
17.0625,0.981326,0.991288
17.0875,0.981706,0.960658
17.1125,0.981441,0.953469
17.1375,0.955034,0.986283
17.1625,0.994597,0.973497
17.1875,0.972545,0.978307
17.2125,0.961114,0.980696
17.2375,0.994346,0.984854
17.2625,0.980314,0.993083
17.2875,0.995387,0.967535
17.3125,0.97227,0.96869
17.3375,0.968395,0.999375
17.3625,0.965962,0.986029
17.3875,0.969691,0.972421
17.4125,0.983176,0.99333
17.4375,0.982416,0.993009
17.4625,0.986972,0.995346
17.4875,0.989716,0.989461
17.5125,1.01497,0.994695
17.5375,1.00634,0.977704
17.5625,0.962101,0.991385
17.5875,0.988746,0.978816
17.6125,0.970364,0.976187
17.6375,1.01367,0.962816
17.6625,1.00463,0.975227
17.6875,0.992007,0.984126
17.7125,0.987076,0.968122
17.7375,0.993014,0.956098
17.7625,0.980025,0.984775
17.7875,0.995968,0.973323
17.8125,0.984354,0.965817
17.8375,0.993684,0.99102
17.8625,1.00228,0.978443
17.8875,0.982301,0.974256
17.9125,0.991201,1.01013
17.9375,0.983905,0.979565
17.9625,0.987477,0.99748
17.9875,1.00559,0.98901
18.0125,0.986639,0.979464
18.0375,0.988835,0.982905
18.0625,0.977027,0.988812
18.0875,0.990204,0.987977
18.1125,0.980206,1.00168
18.1375,0.976249,0.981795
18.1625,1.00594,0.984815
18.1875,0.985776,0.978847
18.2125,0.991168,0.987312
18.2375,0.980057,0.983064
18.2625,0.993851,0.994169
18.2875,0.986825,0.953184
18.3125,0.991863,0.97563
18.3375,0.980499,1.00181
18.3625,0.978046,0.972447
18.3875,0.972288,0.974414
18.4125,0.986522,0.975812
18.4375,0.988421,0.967567
18.4625,0.988281,0.979845
18.4875,0.990018,0.999206
18.5125,1.00573,0.985828
18.5375,0.976106,0.969872
18.5625,1.00224,0.989747
18.5875,0.987707,1.00331
18.6125,0.980521,0.998063
18.6375,0.972203,0.987543
18.6625,1.0021,0.981193
18.6875,0.979391,1.00358
18.7125,0.978712,0.978934
18.7375,0.982689,0.984197
18.7625,0.982723,0.984532
18.7875,0.998704,0.992184
18.8125,0.983255,0.983074
18.8375,0.998667,0.984766
18.8625,0.987977,0.998611
18.8875,0.960466,0.963331
18.9125,0.993519,0.997669
18.9375,0.990153,0.983254
18.9625,1.00111,0.992395
18.9875,1.00239,0.970827
19.0125,0.987649,0.966992
19.0375,0.989973,0.989707
19.0625,0.985514,0.984707
19.0875,0.994486,0.985185
19.1125,0.995997,1.00143
19.1375,0.985001,0.993259
19.1625,0.96973,0.994952
19.1875,0.985097,0.976034
19.2125,0.970158,0.990422
19.2375,0.998229,0.987387
19.2625,0.986852,0.986188
19.2875,0.979963,0.988736
19.3125,0.995787,0.988253
19.3375,0.971852,0.969879
19.3625,0.984432,1.00146
19.3875,1.01516,0.991001
19.4125,0.999328,0.962151
19.4375,0.992656,0.989579
19.4625,0.978674,0.978229
19.4875,0.98879,0.998559
19.5125,0.975225,0.985989
19.5375,0.980056,1.00475
19.5625,0.997463,0.97602
19.5875,0.996698,0.999105
19.6125,1.01187,0.999856
19.6375,0.986395,0.995588
19.6625,0.995553,0.98335
19.6875,0.998255,0.984865
19.7125,0.993991,0.982074
19.7375,0.984136,0.979454
19.7625,1.01651,0.97163
19.7875,0.981138,0.993148
19.8125,1.01043,1.00086
19.8375,0.97519,0.972342
19.8625,0.999025,0.998377
19.8875,0.99103,0.961284
19.9125,1.00113,0.983703
19.9375,0.980561,0.974
19.9625,0.990889,1.00829
19.9875,0.982822,0.976827
20.0125,0.997448,0.996436
20.0375,0.989939,0.977728
20.0625,0.976906,0.996324
20.0875,0.994952,0.993589
20.1125,1.00516,0.992272
20.1375,0.986806,0.989805
20.1625,1.00965,0.999866
20.1875,1.00153,0.996713
20.2125,1.00072,1.00016
20.2375,0.997753,0.982285
20.2625,0.999846,0.989743
20.2875,1.00628,0.974963
20.3125,0.98056,0.977279
20.3375,1.01243,0.984437
20.3625,0.977996,0.992025
20.3875,1.01458,0.994163
20.4125,0.985818,1.01137
20.4375,0.992498,0.995501
20.4625,1.01161,0.980734
20.4875,1.00446,0.993444
20.5125,0.987537,0.985877
20.5375,1.02223,0.980925
20.5625,0.998483,1.0056
20.5875,1.00326,0.985959
20.6125,0.981808,0.986978
20.6375,1.00477,0.984714
20.6625,0.999175,0.984243
20.6875,1.00571,0.991674
20.7125,0.992295,0.986152
20.7375,0.992691,0.976535
20.7625,0.99333,0.966576
20.7875,1.02021,0.989664
20.8125,1.00459,0.981958
20.8375,1.00064,0.991057
20.8625,0.992872,0.99881
20.8875,0.983592,0.96348
20.9125,1.00345,0.995103
20.9375,1.01266,0.97679
20.9625,0.979426,0.982784
20.9875,1.00939,0.987889
21.0125,0.997109,1.00532
21.0375,0.993898,0.990532
21.0625,0.980557,0.977982
21.0875,0.980782,0.982341
21.1125,0.98988,0.999952
21.1375,0.97361,0.974018
21.1625,0.982688,1.01619
21.1875,0.991794,0.991033
21.2125,1.00202,1.00293
21.2375,0.994422,0.982857
21.2625,0.998725,0.971329
21.2875,0.983197,0.983351
21.3125,1.01149,0.987171
21.3375,1.00902,0.997417
21.3625,1.02066,1.00017
21.3875,0.989772,1.00019
21.4125,0.975813,0.98298
21.4375,1.02146,0.990737
21.4625,0.995585,0.99901
21.4875,0.999264,0.989919
21.5125,1.00952,0.987161
21.5375,0.987127,0.998367
21.5625,0.972135,0.999156
21.5875,1.0035,0.985269
21.6125,0.996729,0.983902
21.6375,0.991304,0.999253
21.6625,0.985721,0.991593
21.6875,0.991437,1.00753
21.7125,1.01171,0.98835
21.7375,1.00935,0.978782
21.7625,0.990407,1.00004
21.7875,0.998718,0.998205
21.8125,1.0096,0.981776
21.8375,0.995469,0.992621
21.8625,1.00538,0.977716
21.8875,0.979726,0.970905
21.9125,1.00209,0.995507
21.9375,0.979625,0.989514
21.9625,0.99568,0.987445
21.9875,1.00952,1.00407
22.0125,0.989126,0.984341
22.0375,1.00451,0.993194
22.0625,0.992663,0.990354
22.0875,1.01518,0.989253
22.1125,1.00387,0.978691
22.1375,1.01859,0.996278
22.1625,0.992474,0.980565
22.1875,1.01167,0.985449
22.2125,0.985827,0.987091
22.2375,0.985703,0.998452
22.2625,1.01346,1.00519
22.2875,0.996109,0.989746
22.3125,1.00784,0.991338
22.3375,1.01663,1.00229
22.3625,1.00347,0.975851
22.3875,1.00983,1.00927
22.4125,1.00975,1.00639
22.4375,1.01318,0.993599
22.4625,0.986925,1.01352
22.4875,1.0174,1.00612
22.5125,1.0015,0.985155
22.5375,0.998777,1.01245
22.5625,1.00352,0.996105
22.5875,1.00971,0.992468
22.6125,1.00685,0.995544
22.6375,0.993183,0.991718
22.6625,1.01225,0.990468
22.6875,0.997985,1.00518
22.7125,0.997942,1.00746
22.7375,0.995452,1.00111
22.7625,0.991348,1.01065
22.7875,0.990852,0.985237
22.8125,0.98105,0.996389
22.8375,1.00876,0.994511
22.8625,1.0158,1.0091
22.8875,0.98213,0.993385
22.9125,1.0041,1.01597
22.9375,1.00588,0.973839
22.9625,1.0034,0.971902
22.9875,0.992973,0.992052
23.0125,1.00024,0.990972
23.0375,1.00372,0.996725
23.0625,0.999012,1.00037
23.0875,1.01885,0.996585
23.1125,1.02219,0.98658
23.1375,0.997782,0.991482
23.1625,0.995927,0.995966
23.1875,1.00176,0.982949
23.2125,1.00328,0.992231
23.2375,1.0072,0.981852
23.2625,1.01278,0.992535
23.2875,1.00095,0.997319
23.3125,1.0015,0.982897
23.3375,1.01348,0.990311
23.3625,1.01147,0.989962
23.3875,0.988804,0.990764
23.4125,1.00138,0.978567
23.4375,0.995937,1.00656
23.4625,0.99351,1.00307
23.4875,1.00064,0.987286
23.5125,1.00433,0.99649
23.5375,1.01436,1.00522
23.5625,0.996139,0.977051
23.5875,0.98275,0.987054
23.6125,1.00257,0.990021
23.6375,1.01514,0.993402
23.6625,1.01,0.983265
23.6875,0.986121,1.00169
23.7125,0.999552,0.985395
23.7375,0.992022,0.983606
23.7625,0.999485,0.989453
23.7875,0.987486,0.987053
23.8125,0.995557,0.998001
23.8375,1.00309,1.0023
23.8625,0.982733,1.00058
23.8875,1.0141,0.981842
23.9125,0.992915,0.978526
23.9375,1.00133,1.00198
23.9625,0.992116,0.995784
23.9875,1.00817,0.980081
24.0125,0.99627,0.961236
24.0375,0.985914,1.01204
24.0625,0.990427,1.002
24.0875,0.99135,1.00009
24.1125,1.02347,1.00745
24.1375,0.994233,0.997069
24.1625,1.0058,0.985534
24.1875,1.01296,0.992087
24.2125,0.996961,0.973671
24.2375,1.00296,1.00725
24.2625,1.00124,0.996346
24.2875,1.00868,0.999418
24.3125,1.00781,0.995047
24.3375,1.00524,0.989098
24.3625,1.00798,0.987387
24.3875,1.00923,0.998145
24.4125,1.00849,0.988666
24.4375,0.994422,0.98661
24.4625,1.01132,1.00055
24.4875,0.990103,0.988035
24.5125,1.00952,1.0091
24.5375,1.01393,0.982583
24.5625,1.01496,0.996977
24.5875,1.01058,0.993795
24.6125,1.00271,0.994922
24.6375,0.989014,1.01258
24.6625,1.01257,0.995857
24.6875,0.994742,1.00821
24.7125,0.999096,1.00904
24.7375,0.998534,1.00282
24.7625,0.986349,0.998284
24.7875,1.01654,0.992326
24.8125,1.00238,0.984597
24.8375,1.026,0.987098
24.8625,0.995298,0.980219
24.8875,1.00053,0.99414
24.9125,0.989993,1.00939
24.9375,1.02046,1.0083
24.9625,1.00849,1.00698
24.9875,1.00652,0.999031
